66669806,no
66666899,yes
66477829,yes
66453336,no
66391322,no
66348618,no
66327754,no
66326702,no
65810948,no
65585289,yes
65583147,no
65540794,yes
65540609,yes
65337687,yes
65337094,yes
64401313,no
64351873,yes
64351774,yes
64343839,yes
64165478,no
64165233,no
63782357,yes
63568475,no
61745643,no
61264729,no
60976315,yes
60974295,no
60958813,no
60450297,no
60221313,yes
59706780,no
59663897,no
59580035,yes
59420562,yes
59149634,no
59017769,no
59016023,no
58983138,no
58968922,yes
58617746,no
58521991,no
58521906,no
58423519,yes
58277120,yes
58144387,no
58137633,yes
57974777,yes
57881913,no
57838859,no
57838255,no
57838156,no
57836389,no
57835444,yes
57835381,no
57835194,yes
57834386,yes
57830641,no
57828400,yes
57825414,no
57820449,no
57817667,no
57747002,no
57746919,no
57737141,yes
57737092,no
57717732,no
57528244,no
