66669806,"",yes
66666899,"",yes
66477829,"",yes
66453336,"",yes
66391322,5,no
66348618,"",yes
66327754,"",yes
66326702,"",yes
65810948,5,no
65585289,5,no
65583147,5,no
65540794,5,no
65540609,5,no
65337687,5,no
65337094,5,no
64401313,"",yes
64351873,4,no
64351774,4,no
64343839,4,no
64165478,4,no
64165233,4,no
63782357,4,no
63568475,3,no
61745643,3,no
61264729,"",yes
60976315,3,no
60974295,3,no
60958813,3,no
60450297,3,no
60221313,2,no
59706780,"",yes
59663897,4,no
59580035,"",yes
59420562,3,no
59149634,2,no
59017769,2,no
59016023,2,no
58983138,2,no
58968922,2,no
58617746,2,no
58521991,1,no
58521906,1,no
58423519,1,no
58277120,1,no
58144387,1,no
58137633,1,no
57974777,1,no
57881913,1,no
57838859,2,no
57838255,2,no
57838156,2,no
57836389,2,no
57835444,1,no
57835381,2,no
57835194,2,no
57834386,2,no
57830641,1,no
57828400,1,no
57825414,1,no
57820449,1,no
57817667,2,no
57747002,3,no
57746919,2,no
57737141,1,no
57737092,2,no
57717732,2,no
57528244,2,no
