66466828,5,no
66351991,3,no
66351919,3,no
66350674,"",yes
66056332,5,no
66023783,2,no
65764942,2,no
65555843,2,no
65533598,"",yes
65368283,2,no
59673085,4,no
59549541,4,no
59549394,4,no
59541752,3,no
59432439,2,no
59432085,2,no
58278396,"",yes
58170458,5,no
58170334,5,no
58170300,3,no
58170231,2,no
58170077,4,no
58169737,5,no
58168981,5,no
58168795,3,no
58168317,3,no
58168140,2,no
58167525,2,no
58167477,1,no
58165960,2,no
58165878,4,no
58165811,4,no
58165787,4,no
58165756,4,no
58165726,4,no
57237437,2,no
57235711,4,no
57235497,4,no
