1,Getting Started,2015-02-19 04:53:07 UTC,2015-02-21 22:18:31 UTC,2
4,Milestone 1: Feasibility & Requirement Analysis,2015-02-21 22:18:31 UTC,2015-03-03 22:07:49 UTC,10
2,Milestone 2: Minimum Viable Product (MVP),2015-03-03 22:07:49 UTC,2015-04-04 18:37:46 UTC,32
3,Milestone 3: Unit and Integration tests,2015-04-04 18:37:46 UTC,2015-04-14 19:59:16 UTC,10
5,Milestone 4: Report - Comparison of Functional Programming and OOPS based on project experience.,2015-04-14 19:59:16 UTC,2015-04-14 19:59:19 UTC,0
