69,1428440036,closed,""
69,1428440030,labeled,enhancement
68,1428439191,closed,""
66,1428373148,closed,""
67,1428368320,closed,""
68,1428343293,labeled,question
64,1428336934,closed,""
63,1428336885,closed,""
62,1428329667,closed,""
67,1428267941,assigned,""
67,1428264547,labeled,help wanted
66,1428250364,subscribed,""
66,1428250364,mentioned,""
66,1428250364,labeled,develop
65,1428205800,closed,""
61,1428205770,closed,""
59,1428205756,closed,""
58,1428205717,closed,""
57,1428205644,closed,""
55,1428203686,closed,""
65,1428200089,milestoned,""
65,1428200086,labeled,enhancement
64,1428170848,labeled,bug
64,1428170840,labeled,enhancement
64,1428170835,subscribed,""
64,1428170835,mentioned,""
63,1428158809,subscribed,""
63,1428158809,mentioned,""
63,1428158809,subscribed,""
63,1428158809,mentioned,""
63,1428158809,labeled,question
62,1428158030,labeled,test
54,1428157716,closed,""
58,1427938906,milestoned,""
59,1427938899,milestoned,""
56,1427938886,labeled,Solved
56,1427938881,closed,""
61,1427937597,milestoned,""
61,1427937597,assigned,""
61,1427937597,subscribed,""
61,1427937597,mentioned,""
61,1427937597,subscribed,""
61,1427937597,mentioned,""
61,1427937597,subscribed,""
61,1427937597,mentioned,""
61,1427937597,labeled,Solved
61,1427937597,labeled,invalid
57,1427834482,milestoned,""
57,1427834482,assigned,""
57,1427834482,labeled,bug
56,1427834397,milestoned,""
56,1427834397,assigned,""
56,1427834397,labeled,bug
55,1427763408,milestoned,""
55,1427763408,assigned,""
55,1427763408,labeled,design
53,1427763327,assigned,""
54,1427763294,assigned,""
54,1427763171,milestoned,""
54,1427763094,labeled,design
51,1427577414,closed,""
51,1427577414,subscribed,""
51,1427577414,mentioned,""
52,1427577383,closed,""
53,1427492204,closed,""
48,1427492192,closed,""
49,1427492162,closed,""
49,1427492152,subscribed,""
49,1427492152,mentioned,""
50,1427330025,closed,""
52,1427311392,milestoned,""
52,1427311388,labeled,design
52,1427311388,labeled,duplicate
51,1427311328,milestoned,""
51,1427311328,labeled,design
51,1427311328,labeled,develop
50,1427308924,milestoned,""
50,1427308924,labeled,bug
49,1427255354,milestoned,""
